Date,site,species,ScientificName,CommonName,sex,juvenile,n,Lat,Long,Sex,Lifestage
2024-04-04,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,M,NA,1,32.148099,-110.994286,M,Adult
2024-04-04,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,M,NA,1,32.148099,-110.994286,M,Adult
2024-04-04,STP,RF,Reithrodontomys fulvescens,fulvous harvest mouse,M,NA,1,32.204614,-110.989142,M,Adult
2024-04-04,STP,SH,Sigmodon hispidus,hispid cotton rat,F,NA,1,32.204614,-110.989142,F,Adult
2024-04-04,STP,SH,Sigmodon hispidus,hispid cotton rat,M,NA,1,32.204614,-110.989142,M,Adult
2024-04-05,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,F,NA,1,32.148099,-110.994286,F,Adult
2024-04-05,DRX,SH,Sigmodon hispidus,hispid cotton rat,F,NA,1,32.148099,-110.994286,F,Adult
2024-04-05,STP,SH,Sigmodon hispidus,hispid cotton rat,F,NA,1,32.204614,-110.989142,F,Adult
2024-04-05,STP,SH,Sigmodon hispidus,hispid cotton rat,M,NA,1,32.204614,-110.989142,M,Adult
2024-04-06,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,F,NA,2,32.148099,-110.994286,F,Adult
2024-04-06,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,M,NA,1,32.148099,-110.994286,M,Adult
2024-04-06,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,M,NA,2,32.148099,-110.994286,M,Adult
2024-04-06,STP,PP,Chaetodipus penicillatus,desert pocket mouse,M,NA,1,32.204614,-110.989142,M,Adult
2024-04-06,STP,PP,Chaetodipus penicillatus,desert pocket mouse,NA,NA,1,32.204614,-110.989142,U,Adult
2024-04-06,STP,RF,Reithrodontomys fulvescens,fulvous harvest mouse,F,NA,1,32.204614,-110.989142,F,Adult
2024-04-06,STP,SH,Sigmodon hispidus,hispid cotton rat,NA,NA,1,32.204614,-110.989142,U,Adult
2024-10-23,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,F,NA,1,32.148099,-110.994286,F,Adult
2024-10-23,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,M,NA,2,32.148099,-110.994286,M,Adult
2024-10-23,STP,SH,Sigmodon hispidus,hispid cotton rat,F,NA,8,32.204614,-110.989142,F,Adult
2024-10-23,STP,SH,Sigmodon hispidus,hispid cotton rat,M,NA,3,32.204614,-110.989142,M,Adult
2024-10-23,STP,SH,Sigmodon hispidus,hispid cotton rat,NA,NA,1,32.204614,-110.989142,U,Adult
2024-10-24,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,M,NA,2,32.148099,-110.994286,M,Adult
2024-10-24,DRX,PE,Peromyscus eremicus,cactus mouse,F,J,1,32.148099,-110.994286,F,Juvenile
2024-10-24,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,F,NA,1,32.148099,-110.994286,F,Adult
2024-10-24,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,M,NA,1,32.148099,-110.994286,M,Adult
2024-10-24,DRX,SH,Sigmodon hispidus,hispid cotton rat,F,NA,1,32.148099,-110.994286,F,Adult
2024-10-24,STP,SH,Sigmodon hispidus,hispid cotton rat,F,J,1,32.204614,-110.989142,F,Juvenile
2024-10-24,STP,SH,Sigmodon hispidus,hispid cotton rat,F,NA,8,32.204614,-110.989142,F,Adult
2024-10-24,STP,SH,Sigmodon hispidus,hispid cotton rat,M,J,1,32.204614,-110.989142,M,Juvenile
2024-10-24,STP,SH,Sigmodon hispidus,hispid cotton rat,M,NA,10,32.204614,-110.989142,M,Adult
2024-10-24,STP,SH,Sigmodon hispidus,hispid cotton rat,NA,NA,3,32.204614,-110.989142,U,Adult
2024-10-25,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,F,NA,2,32.148099,-110.994286,F,Adult
2024-10-25,DRX,DM,Dipodomys merriami,Merriam's kangaroo rat,M,NA,1,32.148099,-110.994286,M,Adult
2024-10-25,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,F,NA,1,32.148099,-110.994286,F,Adult
2024-10-25,DRX,PP,Chaetodipus penicillatus,desert pocket mouse,M,NA,1,32.148099,-110.994286,M,Adult
2024-10-25,DRX,SH,Sigmodon hispidus,hispid cotton rat,F,NA,1,32.148099,-110.994286,F,Adult
2024-10-25,DRX,SH,Sigmodon hispidus,hispid cotton rat,M,NA,1,32.148099,-110.994286,M,Adult
2024-10-25,STP,SH,Sigmodon hispidus,hispid cotton rat,F,NA,7,32.204614,-110.989142,F,Adult
2024-10-25,STP,SH,Sigmodon hispidus,hispid cotton rat,M,J,1,32.204614,-110.989142,M,Juvenile
2024-10-25,STP,SH,Sigmodon hispidus,hispid cotton rat,M,NA,7,32.204614,-110.989142,M,Adult
2024-10-25,STP,SH,Sigmodon hispidus,hispid cotton rat,NA,NA,7,32.204614,-110.989142,U,Adult
